sentence_id,text,dialect,features,msa_translation,,,,,,,
sentence_53,??? ????????,Egyptian,"Asking ""where is the car?""",??? ????????,,,,,,,
sentence_54,??? ??????,Gulf,Command to give the book,?? ??????,,,,,,,
sentence_55,???? ?????,Iraqi,Asking about someone’s health,??? ?????,,,,,,,
sentence_56,?? ???????,Levantine,"Asking ""what’s your news?"" (how are you)",?? ???????,,,,,,,
sentence_57,????,Egyptian,"Saying ""I love you""",????,,,,,,,
sentence_58,????? ??????,Gulf,"Command ""give me the book""",????? ??????,,,,,,,
sentence_59,??? ????,Iraqi,"Asking ""where were you?""",??? ????,,,,,,,
sentence_6,??? ??????,Levantine,"Uses ""???"" meaning ""why""",????? ??????,,,,,,,
sentence_60,?? ???? ?? ???????,Levantine,"Asking ""what do you think of the movie?""",?? ???? ?? ???????,,,,,,,
sentence_61,?????,Egyptian,"Short form for ""where are you?""",??? ????,,,,,,,
sentence_62,???? ???,Gulf,"Command ""come here""",???? ??? ???,,,,,,,
sentence_63,???? ???????,Iraqi,"Formal ""how are you?""",??? ???????,,,,,,,
sentence_64,?? ?? ??????,Levantine,"Asking ""what are you doing?""",???? ?????,,,,,,,
sentence_65,??? ???????,Egyptian,"Asking ""where is the book?""",??? ???????,,,,,,,
sentence_66,??? ????????,Gulf,"Command ""take the phone""",?? ??????,,,,,,,
sentence_67,??????,Iraqi,"Short greeting ""how are you?""",??? ?????,,,,,,,
sentence_68,?? ?????,Levantine,"Asking ""what’s your opinion?""",?? ?????,,,,,,,
sentence_69,??? ??????,Egyptian,"Saying ""I love coffee""",??? ??????,,,,,,,
sentence_7,??? ????????,Levantine,"Uses ""???"" for ""where"", common in Levant",??? ???????,,,,,,,
sentence_70,???? ?????,Gulf,"Command ""come quickly""",???? ?????,,,,,,,
sentence_71,??? ??????,Iraqi,"Asking ""where do you work?""",??? ?????,,,,,,,
sentence_72,?? ????,Levantine,"Asking ""what do you want?""",???? ?????,,,,,,,
sentence_73,??? ????????,Egyptian,"Asking ""where is the car?""",??? ????????,,,,,,,
sentence_74,?? ???????,Gulf,"Command ""take this book""",?? ??? ??????,,,,,,,
sentence_75,???? ?????,Iraqi,Asking about health,??? ?????,,,,,,,
sentence_76,?? ????????,Levantine,"Asking ""what’s the news?""",?? ????????,,,,,,,
sentence_77,????,Egyptian,"Saying ""I love you""",????,,,,,,,
sentence_78,????? ?????,Gulf,"Command ""give me the pen""",????? ?????,,,,,,,
sentence_79,?? ????,Levantine,"Uses ""??"" to ask ""what’s wrong?"" or ""what’s the matter?""",?? ??????,,,,,,,
sentence_8,?? ???? ???!,Gulf (Kuwaiti),"Phrase meaning ""It’s not right like that"", uses ???",?? ???? ????!,,,,,,,
sentence_80,???? ???? ?????,Gulf,"Uses ""???"" for ""okay"" and ""????"" for ""how"" to ask about directions",?????? ??? ?????,,,,,,,
sentence_81,??? ???? ????,Iraqi,"Uses ""???"" for ""was"" and ""????"" for ""with you"", meaning ""I was talking to you""",??? ????? ???,,,,,,,
sentence_82,??? ???,Egyptian,"Asking ""what’s this?"" in a concise way",?? ????,,,,,,,
sentence_83,??? ??????,Levantine,"Uses ""???"" for ""why"" and ""?????"" for ""upset""",????? ??? ??????,,,,,,,
sentence_84,??? ???? ?????,Gulf,"Uses ""???"" for urging and ""????"" for ""finish""",???? ???? ?????,,,,,,,
sentence_85,???? ???????,Iraqi,"Uses ""????"" for ""how"" in offering help",??? ?????? ????????,,,,,,,
sentence_86,?? ???? ?????,Egyptian,"Asking if everything is okay, using ""????"" for ""thing"" and ""????"" for ""okay""",?? ?? ??? ??? ?? ?????,,,,,,,
sentence_87,?? ???????,Levantine,"Uses ""??"" and ""??????"" to ask ""what’s this talk?""",?? ??? ???????,,,,,,,
sentence_88,???? ???,Iraqi,"Uses ""????"" for ""there’s nothing"", asking if something’s wrong",??? ???? ????,,,,,,,
sentence_89,????? ???????,Gulf,"Uses ""????"" to indicate completion, meaning ""we’re done"". ",??? ???????,,,,,,,
sentence_9,?? ?????,Levantine/Gulf hybrid,"Uses ""??"" and ""????"", a mix seen in modern speech",???? ?????,,,,,,,
sentence_90,?? ???? ???? ???,Egyptian,"Expressing confusion. ""?? ????"" means ""I don’t know""",?? ???? ???? ????,,,,,,,
sentence_91,?? ????????,Levantine,"Uses ""??"" and ""???????"" to ask about a crowd or traffic",?? ??? ???????,,,,,,,
sentence_92,??? ?????? ????,Gulf,"Uses ""???"" for ""where"" to ask about a coffee shop",??? ???????,,,,,,,
sentence_93,??? ???? ???,Iraqi,"Uses ""???"" for ""was"" and ""???"" for ""about you"", meaning ""I was thinking of you""",??? ???? ??,,,,,,,
sentence_94,?????? ???? ????????,Egyptian,"Uses ""??????"" for ""world"" and ""????????"" for ""today"" to describe a busy day",?????? ????? ?????,,,,,,,
sentence_95,?? ????????,Levantine,"Uses ""??"" and ""???????"" to ask about chaos or mess",?? ??? ???????,,,,,,,
sentence_96,???? ???? ?????,Gulf,"Uses ""???"" for urging and ""????"" for ""give me"" to request a number",???? ????? ?????,,,,,,,
sentence_97,???? ????? ??????,Iraqi,"Uses ""????"" for ""how"" to ask about finding a house",??? ??? ???????,,,,,,,
sentence_98,????? ????? ???,Egyptian,"Uses ""?????"" for ""full"" to describe a crowded market",????? ????? ??????,,,,,,,
sentence_99,?? ??? ????,Levantine,"Uses ""??"" and ""???"" to ask ""what do you want from me?""",???? ???? ????,,,,,,,
